FLAG_NM,FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,HMPG_URL,TEL_NO,MENU_PRC,OPER_TIME,BASE_DE
사찰음식점,일월정,대구광역시 달성군 논공읍 논공로 697-5,27,27710,128.451691,35.730642,대구,https://blog.naver.com/jjy9148,053-615-0558,사랑상 33000,,2021-12-31
궁중음식점,단원 한정식,경기도 안산시 단원구 광덕대로 251,41,41273,126.829881,37.319155,경기,http://www.seokparang.co.kr/,02-395-2500,"궁중수라, 160 000 원, 석파, 130 000 원, 만세, 110 000 원, 점심 수복, 66 000 원, 진찬, 88 000 원",매일12:00 ~ 22:00,2021-12-31
궁중음식점,요리,경기도 파주시 탄현면 법흥로 106,41,41480,126.706202,37.777053,경기,http://www.philkyungjae.co.kr/rain/index.php,02-445-2115,"미정식, 54 000 원, 죽정식, 84 000 원, 국화정식, 102 000 원, 난정식, 132 000 원, 매화정식, 165 000 원",매일12:00 ~ 22:00,2021-12-31
궁중음식점,참나무쟁이,경기도 포천시 내촌면 내리 267,41,41650,127.233379,37.79461,경기,www.samcheonggak.or.kr/index.asp,02-765-3700,"상견례수라, 82 500 원, 제육덮밥, 16 500 원, 다세트A, 36 300 원, 웨딩메뉴(난초), 96 800 원, 웨딩메뉴(모란), 72 600 원",매일12:00 ~ 22:00,2021-12-31
궁중음식점,송화한정식,경상남도 진주시 도동천로 82,48,48170,128.109504,35.179129,경남,http://www.koreahouse.or.kr/,02-2266-9101~3,"녹음정식 68 000 원 , 청우정식 88 000 원, 해린정식 122 000 원, 어진정식 150 000 원","오찬 12:00 ~ 14:00, 만찬 17:00 ~ 21:00",2021-12-31
궁중음식점,요석궁,경상북도 경주시 교촌안길 19-4,47,47130,129.216878,35.830354,경북,http://www.jinpoongjeong.com,02-538-7733,"진연코스, 49 000원, 진풍정A, 68 000원, 진찬코스, 38 000원, 진풍정B, 55 000원, 어상B코스, 80 000원",매일 11:30 - 22:00  Break time 15:00~17:00,2021-12-31
사찰음식점,연화바루,경상북도 경주시 대경로 4827,47,47130,129.186389,35.823034,경북,,054-774-5378,바루특정식 18000,,2021-12-31
궁중음식점,수리뫼,경상북도 경주시 내남면 포석로 110-32,47,47130,129.208158,35.752202,경북,http://www.jinpoongjeong.com,02-786-9701,"진찬코스, 68 000원, 진풍정A코스, 49 000원, 진연코스, 55 000원, 진풍정B코스, 120 000원, 어상A코스",매일 11:30 - 22:00  Break time 15:00~17:00,2021-12-31
궁중음식점,연당,경상북도 구미시 금오산로 108,47,47190,128.332825,36.124942,경북,http://www.gyuban.com,02-541-1555,"오찬정식 (午餐定食), 변동, 대표만찬 1 (晩餐一), 변동, 만찬 2(晩餐二), 변동, 친선 (親選)",주중12:00평일 12:00 - 23:00브레이크 타임 15:00~18:00 ~ 23:00,2021-12-31
궁중음식점,라연 서울신라호텔,서울특별시 중구 동호로 249 신라호텔,11,11140,127.005789,37.557832,서울,https://www.siksinhot.com/P/264329,043-644-2577,정식 15 000원,매일 12:30 - 21:00,2021-12-31
궁중음식점,부숙 한정식,경상북도 안동시 목성교길 19-1,47,47170,128.72896,36.567182,경북,http://www.jinpoongjeong.com,02-777-8004,"진찬코스, 68 000원, 진풍정A코스, 49 000원, 진연코스, 55 000원, 진풍정B코스, 120 000원, 어상A코스",매일 11:30 - 22:00 15:00~17:00 브레이크 타임,2021-12-31
궁중음식점,기와집,전라북도 군산시 임피면 읍내리 251-1,45,45130,126.848154,35.985121,전북,http://www.gooong.co.kr/,063-227-0844,진상·선상·미상 16만원~25만원(4인 기준),11시~21시,2021-12-31
궁중음식점,거목 한정식,광주광역시 남구 천변좌로364번길 3-6,29,29155,126.911575,35.145634,광주,http://www.hanmiri.co.kr/,02-757-5707,"저녁 수라정찬, 77 000원, 저녁 어반옥 베스트, 66 000원, 점심 들깨신선로 반상, 34 000원, 점심 비빔밥 반상, 38 000원, 점심 수삼 떡갈비 반상, 46 000원",매일 11:30 - 15:00 점심영업 매일 18:00 - 21:30저녁영업,2021-12-31
궁중음식점,명선헌,광주광역시 동구 지호로127번길 11,29,29110,126.943306,35.150304,광주,http://www.jihwajafood.co.kr/,02-2269-5834,"세트메뉴(점심 저녁), 80 000~85 000, 풀코스(점심 저녁), 120 000~195 000, 비건코스(완전채식), 130 000, 글루텐프리코스, 130 000","점심 11:30 ~ 15:00 (라스트오더 13:30), 저녁 17:30 ~ 22:00 (라스트오더 20:00",2021-12-31
궁중음식점,동래별장,부산광역시 동래구 금강로123번길 12,26,26260,129.079302,35.220539,부산,https://koreasudam.modoo.at/,02-558-4900,"담정식, 23 000, 보리굴비정식, 38 000, 선비상, 35 000, 대감상, 45 000, 진연상, 55 000, 수라상, 77 000원, 용왕상, 11 000원","평일 11:30 - 22:00, 휴식3:00~5:30, 주말 12:00 - 22:00, 휴식3:00~5:30",2021-12-31
궁중음식점,뜰아래채,부산광역시 해운대구 달맞이길65번길 148,26,26350,129.177961,35.156613,부산,https://www.mayfield.co.kr/2017/kor/html/restaurants/bongraeheon.asp,,"미락지찬 (주중 저녁 예약제로 판매하며  5인 이하시 주문가능합니다) 60 000, 점심상차림, 58 000, 진연, 89 000, 수라, 107 000, 금강, 120 000",점심 12:00 ~ 15:00  저녁 18:00 ~ 21:30,2021-12-31
사찰음식점,강나루약선한정식,대구광역시 달성군 다사읍 서재로27길 49,27,27710,128.496258,35.875861,대구,,053-591-9252,행복상 12000,,2021-12-31
궁중음식점,서라벌 서초점,서울특별시 서초구 법원로3길 6-9,11,11650,127.009121,37.49421,서울,https://www.hanilkwan.co.kr/aboutus,02-732-3735,"새 상차림 , 33 000",11:30 ~ 21:30,2021-12-31
사찰음식점,향적원,경상북도 경주시 불국로 131,47,47130,129.307733,35.783949,경북,,054-775-0014,연잎밥정식 10000,,2021-12-31
궁중음식점,서초원,서울특별시 서초구 서초대로 283,11,11650,127.012634,37.493672,서울,http://www.yongsusan.co.kr/bw/main_bw_ko.asp,02-743-5999,"솔정식, 68 000원, 시림정식, 88 000원, 예절정식, 120 000원, 운산정식, 160 000원",매일 12:00 - 22:00 브레이크 타임 15:00-18:00,2021-12-31
궁중음식점,도동산방,울산광역시 울주군 상북면 송락골길 133,31,31710,129.096382,35.604188,울산,www.siksinhot.com/P/409634,063-232-4141,"160 000~480 000원, 4인 한상차림, 480 000원, 만성 스페셜",주중12:00 ~ 21:00,2021-12-31
사찰음식점,정강희 두부마을,대구광역시 달성군 다사읍 죽곡2길 2-6,27,27710,128.460726,35.85784,대구,,053-592-4900,두부마을 정찬 25000,,2021-12-31
사찰음식점,녹야원,대구광역시 북구 동암로 128-10,27,27230,128.564545,35.943266,대구,https://enolja.com/t/0533146686,053-314-6686,수라상A 38000,,2021-12-31
궁중음식점,두레유,서울특별시 종로구 북촌로 65,11,11110,126.984908,37.582757,서울,www.siksinhot.com/P/384622,063-282-0054,"정식은 4인 기준(숙), 60 000 원, 한정식은 4인 기준(특), 200 000 원, 한정식은 4인 기준(진), 160 000 원, 한정식은 4인 기준(선), 120 000 원, 한정식은 4인 기준(미), 100 000 원, 꽃게탕, 20 000 원, 양념게장, 20 000 원, 청국장, 8 000 원",주중11:00 ~ 22:00,2021-12-31
궁중음식점,한아름 한정식,서울특별시 강남구 언주로 148길 14,11,11680,127.03596,37.520347,서울,https://www.siksinhot.com/P/426208,02-6250-3110,"진하코스(2인이상 주문가능), 38 000 원, 진진바라코스(2인이상 주문가능), 49 000 원, 진찬코스(2인이상 주문가능), 62 000 원, 진연코스(2인이상 주문가능), 72 000 원",주말12:00 ~ 21:00주중11:30 ~ 22:00,2021-12-31
궁중음식점,필경재,서울특별시 강남구 광평로 205,11,11680,127.095247,37.484873,서울,http://bukchonri.com/,02-736-2233,"한정식 코스 33 000~88 000, 신선로코스 60 000원","11:00 ~ 22:00, break time 15:00~17:00",2021-12-31
궁중음식점,수담한정식,서울특별시 강남구 삼성동 봉은사로 418,11,11680,127.045995,37.510517,서울,http://daejanggeumkorea.com,02-3213-4534,"전통 수라상(미), 38 000원, 전통 수라상(진) , 54 000원, 진찬수라상, 78 000원, 진연수라상, 98 000",11:00 ~ 24:00,2021-12-31
궁중음식점,규반,서울특별시 강남구 선릉로153길 32 2층,11,11680,127.036818,37.52485,서울,https://www.siksinhot.com/P/268370,062-228-2942,"한정식 (1인), 30 000 원 ~ 50 000",매일 12:00 - 22:00Break time 15:00~17:00,2021-12-31
궁중음식점,한일관,서울특별시 강남구 압구정로38길 14,11,11680,127.032504,37.527788,서울,http://www.dooreyoo.com/,02-743-2468,"하늘 코스, 55 000 원, 달 코스, 77 000 원, 별 코스, 110 000 원, 런치코스, 30 000 원, 셰프테이스팅코스메뉴(바루/대지-2일전 예약필수), 250 000 원","매일11:00 ~ 22:30, 휴식시간, 매일 , 15:00 ~ 17:00",2021-12-31
사찰음식점,산촌 고양점,경기도 고양시 덕양구 보광로 234,41,41281,126.912421,37.735285,경기,,031-969-9865,저녁정식 45000,,2021-12-31
사찰음식점,무심정,부산광역시 금정구 북문로 23,26,26410,129.05595,35.25195,부산,,051-517-3352,점심특선 팔보연밥 14000,,2021-12-31
사찰음식점,장미식당,충청북도 단양군 영춘면 백자1길 3-8,43,43800,128.484578,37.042068,충북,,043-423-7255,사찰한정식 20000,,2021-12-31
궁중음식점,칠량,서울특별시 강남구 영동대로 731,11,11680,127.054784,37.523013,서울,http://www.태능경회루.kr,02-972-2774,"정식, 25 000 원, 점심특선, 20 000 원",매일11:00 ~ 22:00,2021-12-31
궁중음식점,진풍정 강남점,서울특별시 강남구 테헤란로52길 15,11,11680,127.047943,37.50318,서울,http://seorabol.kr/,02-599-5288,"점심특선, 49 000원, 대표서라벌(徐羅伐)정식, 29 000원, 보리굴비정식, 39 000원, 수(秀)정식, 59 000원, 일품(一品)정식",매일 11:30 - 22:00Break time 15:00~17:00 평일,2021-12-31
사찰음식점,약반,경기도 광주시 퇴촌면 영동리 332,41,41210,127.372778,37.477868,경기,,031-767-8976,건강밥상 20000,,2021-12-31
궁중음식점,옥류헌,서울특별시 강북구 삼양로181길 142,11,11305,127.007922,37.670019,서울,https://www.siksinhot.com/P/365083,02-3789-5130,"수라상, 79 000 원, 명동정식, 39 000 원, 귀빈상, 59 000 원, 수라상, 79 000 원",매일 11:00 - 22:00,2021-12-31
사찰음식점,향적원 첨성대점,경상북도 경주시 원화로 181번길 13-2,47,47130,129.218147,35.836587,경북,,054-772-0014,사찰쌈밥정식 15000,,2021-12-31
궁중음식점,봉래헌,서울특별시 강서구 방화대로 94,11,11500,126.818794,37.547577,서울,http://www.shilla.net/seoul/dining,02-2230-3367,"점심코스, 108 000 원 ~ 198 000원 , 저녁코스, 195 000 원 ~ 270 000원","매일12:00 ~ 22:00, 휴식시간, 14:30 ~ 18:00",2021-12-31
궁중음식점,경회루,서울특별시 노원구 동일로 1005,11,11350,127.074537,37.619941,서울,http://www.koryeojeong.com/,02-313-1555,"한정식 고려상, 55 000 원, 런치 A, 20 000 원, 런치 B, 25 000 원, 점심특선, 35 000 원, 한정식 만수무강상, 65 000 원","주중, 11:00 ~ 22:00",2021-12-31
궁중음식점,용수산,서울특별시 서초구 서초중앙로 188 아크로비스타,11,11650,127.013413,37.498085,서울,http://www.seoulgaon.co.kr/,02-733-3276,"궁, 40 000 원, 상, 50 000 원, 각, 60 000 원, 평일점심특선, 30 000 원","매일, 11:30 ~ 22:00",2021-12-31
궁중음식점,삼청각,서울특별시 성북구 대사관로 3,11,11290,126.984148,37.597077,서울,http://www.okryuhun.com/index.html,02-993-1829,"점심특선 18 500, 매정식 25 000, 난정식 36 000, 수정식 46 000, 화정식 58 000, 어진상 68 000",매일 11:30 - 21:30,2021-12-31
궁중음식점,대장금 롯데월드몰,서울특별시 송파구 올림픽로300 롯데월드 캐주얼동5층,11,11710,127.102669,37.512889,서울,www.siksinhot.com/P/368849,02-591-9674,"연잎오리 황토구이, 68 000 원, 산정식, 48 000 원, 물냉면, 10 000 원, 떡갈비, 8 000 원",매일 12:00 - 21:00Break time 15:00~18:00,2021-12-31
궁중음식점,진풍정 여의도점,서울특별시 영등포구 국제금융로8길 27-8,11,11560,126.928413,37.519465,서울,http://www.pulhyanggi.co.kr/,02-796-3490,"점심특선, 26 000 원, 풀향기 정식, 39 000 원",매일11:00 ~ 22:00,2021-12-31
궁중음식점,풀향기,서울특별시 용산구 한남동 726-54,11,11170,127.003903,37.541381,서울,http://www.dullegol.com/,02-735-9966,"둘레골정식, 18 000 원, 별정식, 30 000 원, 점심특선, 18 000 원, 별정식, 33 000 원, 달정식, 43 000 원, 해정식, 55 000 원, VIP정식, 88 000 원, 저녁특선, 28 000 원","매일, 11:30 ~ 22:00",2021-12-31
궁중음식점,비원가든,충청북도 제천시 내토로 181,43,43150,128.178439,37.1301,충북,https://www.siksinhot.com/P/280956,062-672-0333,"한정식 기본, 30 000 원, 한정식 저녁, 40 000 원, 한정식 신선로 등 추가, 30 000 원, 한정식 더덕+전복+장어구이 등 추가, 35 000 원",매일11:00 ~ 22:00,2021-12-31
사찰음식점,산촌미학,경상남도 산청군 신안면 원지로122번길 40,48,48860,127.981493,35.294614,경남,,055-974-0320,약선정식 25000,,2021-12-31
궁중음식점,진풍정 서울역점,서울특별시 용산구 후암로 107 게이트웨이타워 2층,11,11170,126.973581,37.553466,서울,http://www.hanarem.co.kr/,02-517-8064,"름정식, 28 000, 비정식, 38 000, 명품부서굴비정식(양식), 30 000, 아정식, 50 000, 남도일품정식, 60 000",매일 11:00 - 21:30,2021-12-31
궁중음식점,설가온,서울특별시 종로구 세종대로 175,11,11110,126.975893,37.572255,서울,http://www.kr7r.com/,02-516-7095,"평일 점심정식 일량 , 19 800 원, 평일 점심정식 이량, 27 500 원, 삼량 코스요리, 38 500 원",주중11:30 ~ 22:00,2021-12-31
